"story","gender" 
"יום אחד נסעתי לכינרת עם כמה חברים, הבאנו הרבה ציוד כגון: שתייה , חטיפים , אוכל , גנרטור , רמקולים אופנועי ים ועוד. באחד הימים שהיינו שם היה כל כך חם שפשוט גם להיות בתוך האוהל לא עזר והיינו קצת שיכורים אז אמרנו שניכנס למים . כמה חברים היו על האופנועי ים ואני הייתי על מזרון ים. נרדמתי על המזרון ומצאתי את עצמי באמצע שום מקום ללא אף אחד לידי או בסביבה בכלל , לא ידעתי איפה החברים שלי נעלמו או בכלל כל נפש חיה, איזה מרחק אני בכלל מהחוף והאם אצליח לעשות את הדרך חזרה.  מעבר לכך התעוררתי מיובש בלי מים או מזון כלשהו ובלי אמצעי תקשורת ( הפלאפון היה באוהל). חברים שלי אפילו לא שמו לב שנעלמתי ( היינו 15 חברה) ולכן מצאתי את עצמי נאבק שם על חיי מנסה להילחץ מלב הכינרת שאני לבד על המזרון ים.
מיותר לציין שניסיתי לנופף לכלי טייס שעברו מעליי באיזה שלב אך ללא הצלחה, פשוט לא ראו אותי כנראה. אחרי כמה שעות התחלתי ממש להילחץ וחשבתי שזה כבר אשכרה הסוף שלי... התחלתי כבר להיפרד מכל הקרובים שלי בראש ולהגיד למשפחה שאני אוהב אותם כי לא ראיתי שום דרך הגיונית שתחלץ אותי ואצליח להגיע לחוף בשלום. כמה שעות אחרכך היה ממש קר וקמתי מהקור ( נרדמתי על המזרון ים) זה היה הלילה הכי שחור שהיה לי בחיים, נאבקתי שם עם גלים ומזג אוויר לא קל. בשעה 5:00 בערך מצאו אותי צוות חילוץ של המשטרה לאחר חיפושים ארוכים וממושכים.
לא יכול לתאר את ההרגשה שחילצו אותי פשוט כל העולם שלי שוב חזר, כל התקוות והתפילות השתלמו וכמובן שגם צוות המשטרה האדיב שעזר לי שמח מאוד וישר העניקו לי טיפול ראשוני.
לאחר שפינו אותי לחוף לקחו אותי לבית חולים לצורך המשך טיפול ושם קבעו כי היה לי התייבשות, רמת ברזל נמוכה וזעזוע מוח ולכן נשארתי להתאשפז עוד 3 ימים. כנראה שזאת הפעם האחרונה שאני אבקר בכינרת לצערי.","m"
"חוויה שהייתה לי בשנה האחרונה התחילה בכך שהתקבלתי לעבודה חדשה בתחום הענן לאחר שחבר שלי עזר לי, לאחר כחודש וחצי שעבדתי בדיוק הממשלה החליטה בהקלה שהגבלות והחברה החליטה לעשות מסיבה לעובדים בסורא מארה בתל אביב.
כמה שעות לאחר המסיבה הייתי אמור לרדת לאילת עם המשפחה שלי עם האוטו שלי.
החלטנו שאני אנהג למסיבה וחבר שלי ישתה, בדרך לאסוף את החבר התקשר אלי חבר אחר וכשגילה שאני נוהג כעס עלי ואמר שחבל, נשברתי ללחציו והחלטנו שניקח מונית ונשתה, אמרתי שנשתה קצת כי יש לי עוד את הנסיעה לאילת על הראש.
בכל אופן המסיבה התחילה והייתה אווירה נהדרת, אלכוהול בחינם כל הערב ולכן כולם שתו בכמויות והרימו המון צייסרים, כולם השתכרו מהמנכל של החברה עד אחרון העובדים.
גם אני שתיתי קצת והכרתי הרבה אנשים בחברה והיה כיף מאוד, הוגש אוכל טעים בין לבין.
לקראת הסוף אנשים היו שיכורים מאוד ואדם בכיר בחברה בשם אודי אף הקיא, אבל שוב הכל היה באווירה טובה.
2 בנות שונות מהחברה פלירטטו איתי במהלך המסיבה אבל אני נאמן לחברה שלי.
בסוף המסיבה מעיין מהמשאבי אנוש הביאה לנו מארז שי לחג הפסח, בנוסף לכרטיס מתנה בשווי 500 שקלים כך שהיה שווה להגיע למסיבה.
בשעה 12 הזמנו מונית, 12 וחצי הגעתי הביתה סידרתי תיק עד 1:30 לפנות בוקר והלכתי לישון, ב15:30 כבר התעוררתי ויצאה לדרך הנסיעה הכי קשה בחיי, העיניים שלי שרפו במהלך כל הנסיעה לאילת ופחדתי נורא להירדם בדרך אבל הייתי מרוכז ובמצפה רמון התחלפתי עם אבא שלי והלכתי לישון באוטו ל45 דק, קמתי כמו חדש.
באילת הגענו למלון הלגונה הכל כלול כאשר להורים שלי הייתה הזמנה של זוג ובשביל שאני גם אשן שם היו צריכים להוסיף 700 שקל, דבר שהצלחנו למנוע שכן המלון גיסי דיבר עם הקבלה והצליח לשכנע אותם.
באילת חיכתה לי כבר חברה שלי שירדה יום לפני עם חברות שלה, ביום הראשון ביליתי איתה קצת ועם חברות שלה, וביום השני היא הייתה עם איתי והמשפחה שלי.
כל המשפחה של גיסי וחברים שלהם היו במלון וסך הכל היינו 40 אנשים.
עשינו את הסדר של פסח בבית המלון והיה המוני מידי, קריאת ההגדה של פסח הייתה קשה אבל האוכל היה טעים.
בנוסף קניתי לעצמי כמה בגדים חדשים, סך הכל היה סופש ארוך מעולה שכלל מסיבת חברה וחופשה באילת וחזרתי עם כוחות מחודשים.","m"
"טסתי לתאילנד לשלושה שבועות ביום השני הציעו לי נישואים בהפתעה ויום לאחר מכן היה לי חום ארבעים מעלות , פוניתי לבית חולים מפחיד בתאילנד עם וירוס קשה בבטן הזריקו לי חומר לא ידוע והתחלתי לפרכס ולבכות והרופאה צעקה עליי בתאילנדית . הרגשתי כמו בסרט אימה באמצע תאילנד .","f"
"חוויה שקרתה לי שנה שעברה, נסענו לבודפשט אני והבת זוג שלי וטיילנו ברחוב הואצי אוצה.
במהלך הטיול שלנו ראינו זוג אנשים שמעיפים אלינו מבטים מוזרים, מהר הסתבבנו והתחלנו ללכת מהר לעבר סמטה צדדית , נכנסו לחנות בגדים ענקית בערך 4 קומות והתחלנו להסתובב שם ולהעביר את הזמן לא ידענו אם האנשים האלה באים אחרינו באמת או שדמיינו לאחר כשעה שעברה שאנחנו בחנות באים לשלם בקופה לקנות את הבגדים שמדדנו אנחנו רואים בחנות את הזוג בחורים האלה מהר שלמנו ויצאנו משם חיפשנו מהר מונית שתקח אותנו חזרה למלון. הגענו למלון והלכנו לנח בערב החלטנו ללכת לעשות עוד טיול סביב ונכנסו לבר אחד שהיה נירא עם מלא אנשים ושמח בזמן שאנחנו יושבים ומחכים להזמנה שלנו אנחנו רואים את אותם האנשים שוב הפעם לא היה לנו לאן לברוח אבל בגלל שהיינו בתוך הבר מפצץ אנשים הרגשנו בטוחים אחד האנשים ניגש אלי ואמר לי באנגלית היה לי קשה מאוד למצוא אותך כל היום אנחנו מחפשים אותך, ומגיש לי את הילד שלו עם הדרכון שלי ואומר זה נפל לך מהתיק שהלכת ברחוב ורצינו להחזיר לך אבל ברחת אני באתי לתת את זה כבר למשטרה מזל שמצאתי אותך.","m"
"הייתי בטיול אחרי צבא במקסיקו. יש עונה מסוימת בשנה שמגיעים כרישי לוויתן לאזור, אני הייתי שם בתחילת העונה, היו הרבה היסוסים האם לצאת לחפש את הכרישים כדי לשחות איתם או שלא כי זאת הייתה תחילת העונה והרבה אנשים שחיפשו במהלך השבוע לא זכו לראות.
למזלי אנחנו חיפשנו במשך שעה וחצי ומצאנו להקה של 40 פריטים. מחזה מדהים וזכיתי לשחות ממש קרוב אליהם. זה היה מרגש ומפתיע ממש.
נהנתי מאוד.","m"
"יצאתי לטייל עם חברה, יצאנו בבוקר צפונה והגענו לתחילת המסלול. הגענו מוכנות עם מים, כובע, קרם הגנה וסנדלים למקרה שנצטרך. הלכנו אחרי השילוט כדי להתחיל את המסלול וירדנו כלפי מטה בהר לכיוון הנחל. עברנו דרך מבצר שלא היה מעניין כל כך אבל פגשנו אנשים נחמדים שאמרו לנו שכדאי ללכת דרך מקום כדי לעשות עצירת אוכל שקטה. אחרי האוכל המשכנו לרדת לכיוון הנחל. כשהגענו לנחל ראינו שצריך לצות אותו כדי להמשיך במסלול, חברתי הורידה את הנעליים והחליפה לסנדלים ואני נשארתי עם הנעליים. אחרי שעברנו אותו גילינו שיש עוד מספר פעמים שצריך לחצות אותו בזיגזג. המקום לא היה מיועד להליכה עם סנדלים כל כך אז היו פעמים שהיינו צריכות להחזיר לנעליים. זה היה מתסכל כי היינו עם נעלי טיולים ולוקח זמן לשים אותן בכל פעם. התחלנו ליצור קשר עם אנשים שהיו איתנו במסלול. הצחיק אותנו מאוד שכולם מתוסכלים מחציית הנחל והרטבת הנעליים או הורדת הנעליים בכל פעם. החלטנו להוציא את המירב מזה ולצחוק על זה. טבלנו במים הקרים, שטפנו פנים וידיים. הגענו למקום בו לא היינו בטוחות איך חוזרים חזרה לאוטו אז התחלנו לעקוב אחרי אנשים. גם אותם איבדנו בדרך כי לקח לנו יותר זמן לחצות את הנחל מהם. החלטנו לקחת דרך אחת שנראתה לנו הגיונית, הכי גרוע היינו הולכות יותר חזרה לרכב. המסלול התפצל לשתיים ולא ידענו איזו לבחור. הלכנו על מה שהיה נראה שמוביל חזרה לחניה. העלייה היתה קשה ומעייפת ואני לא בכושר אז בכלל נהייתי אדומה והיה לי קשה לנשום. אבל הדרך היתה יפיפייה. בעלייה למעלה פגשנו אנשים שהיו בדרך למטה וכולם אמרו שבחרנו את המסלול הלא נכון והיינו צריכות להתחיל את המסלול בכיוון ההפוך. היו אנשים שראו שחם לנו והציעו לנו קולה. ראינו הרבה פרחים יפים ועצים מעניינים. בשלב מסויים ראינו שלא משנה איז דרך היינו בוחרות בפיצול היינו מגיעות לאותו מקום. פשוט הדרך השניה יותר ארוכה ויש בה פריחה מעניינת. התלבטנו אם ללכת לראות את זה אבל כבר היינו עייפות מידי מכדי לחזור אחורה במסלול. החלטנו למשיך לעלות למעלה. היו ריחות טובים של פריחה והמזג אוויר היה נעים. הגענו לאוטו וגילינו שמישהו שרט את האוטו של חברתי. זה היה סיום לא נחמד לטיול שהיה מאוד כיף ומרענן. משם נסענו לנקודת תצפית שלא היתה מרהיבה אבל היתה די נחמד, אכלנו שם ארוחת צהריים וחזרנו הביתה.","f"
"השנה האחרונה הייתה שנת קורונה, שנה לא פשוטה בקנה מידה אוניברסלי וגם בעבורי באופן אישי. 
אשתף אתכם בכך שאני וארוסתי החלטנו להתחתן טרם החלה הקורונה להתפשט בכל העולם. 
תכננו חתונה מפוארת והמונית, חתמנו חוזה מול בעל אולם אירועים, החלה תפירת שמלות הכלה- שלוש במספר, נבחרה החליפה המרשימה, שולמה מקדמה לצלם הטוב ביותר באזור וכמו כן לעוד ספקים שיגשימו את החלומות כמו פירוטכניקה (עשן, בועות, בלונים ועוד שלל גימיקים) וכמובן הכנת רשימת מוזמנים ארוכה הכוללת את הקרובים והרחוקים ועוד המון תכנונים והכנות עד לפרטים הקטנים כמו בחירת צבע מפיות ומבחר מנות מכל טוב. 
כחודש לפני החתונה החלה התפרצות הקורונה, נכסנו לסגר, הכל הפך להיות תחת חסותו של חוסר הודאות המוחלט! 
הרגשנו אבודים לא ידענו כיצד להתמודד עם המצב, שיחות רבות עם כל הקרובים, תהיות מה נעשה ואיך נתמודד עם המצב וכל זה תחת ענן גדול של תקוה שנתעורר בבוקר ונגלה שכל זה בכלל היה סיוט שהזינו.
טוב אז כמו שאתם יודעים כבר זו לא הייתה הזיה אלה מציאות של ממש, אז בהתאם למציאות התחלנו להילחץ מהמצב זאת מאחר שהפקדנו כספים ומקדמות עבור כל אותם בעלי עסקים השותפים להפעלת האירוע המתוכנן. 
אני ואשתי שתחיה, החלטנו שלא משנה מה אנחנו מתחתנים בתאריך המיועד אותו קבענו מבעוד מועד, למען האמת זו הייתה הקרקע היציבה היחידה שלנו באותה תקופה כיוון וזה היה הדבר היחידי שהיה ברור וידעו לנו מראש. 
אקצר, שבוע לפני החתונה- ישראל עודנה בסגר, מעט מאוד אנשים ברחובות, כולם מפחדים ממפגשים חברתיים, גם אלו שמאוד קרובים. 
החלטנו שתחת ההגבלות המותרות נתחתן עם עשרה אנשים בבית כנסת מכובד שבעירנו. 
יומיים לפני החתונה, החלטנו שלמרות הכל נקיים את טקס החופה, עם שמלה צנועה ולא כזו שנתפרה מראש, לא עם אורות מסנוורים ובר אלכוהול עשיר אלא אני ואישתי באופן מצומצם יחד עם ההורים, האחים וגבאי בית הכנסת. 
אוכל להגיד שלמרות המגיפה הטרגית שתקפה את העולם, אצלנו בלב היה שמח! נהנינו מאוד והרגשנו שזה הרגע שלנו, האינטימי שנזכור אותו לנצח כמיוחד במינו. 
את החתונה הגדולה שתכננו דחינו וקיימנו עם 250 איש בפתיחת המשק. 
סוף טוב הכל טוב.","m"
"כשהייתי ילדה קטנה בבית הספר בגיל 8 הייי ילדה מאוד שקטנה וביישנית והיו לי שני חברים טובים שקראו להם גיא ותמרה שהם היו ילדים מאוד רעים ובעייתיים , יום אחד גיא ותמרה החליטו שלא בא להם להשתתף בשיעור ספורט והם רמקו מזימה את המזימה הם שיתפו אותי כייוןן שהיינו חברים מאוד טובים והם לא רצו לעשות את זה לבד ומכאן שהם החליטו לגשת אל הכפתור של בית הספר אשר מפעיל את האזעקה אחריי ששלושתינו תכננו כיצד לעשות זאת ניגשנו לכפתור והפעלנו את האזעקה ומיד ברחנו אל מאחורי אולם ספורט כדיי שלא ידעו שזה אנחנו ומיד כל בית הספר קם על הרגליים וברחו אל המקלט כיוון שחשהו שמדובר באזעקת אמת ושיש איזשהו אירוע בבית הספר כאשר המורים קראו את השמות כי לבדוק שכולם נוכחים הם קלטו ששלושה חסרים כמובן שאלו היו אנחנו אני גיר ותמרה לאחר שהם גילו שאנחונ חסרים הם שיערו כי אנחונ הפעלנו את אזעקת בית הספר ומיד שלושתינו מצאנו את עצמנו בחדר מנהלת בית הספר כאשר גיא ותמרה מאשימים אותי כי אני זו שרקמתי את התוכנית וכמובן שלושתינו נענשנו כיא ותמר סולקו ליומיים מבית הספר ואילו אני סולקתי לארבעה ימים מבית הספר. לאחר שגיא ותמרה חזרו לבית הספר הם גילו למנהלת כי אני היא לא זו שרקמה את התוכנית הזדונית שלהם והמנהלת התקשרה מיד להורי כדי להודיע לי כי מחר אוב לבית הספר . כאשר שבתי לבית הספר לא רציתי לדבר יותר עם כיא ותמרה למרות שהם ביקשו ממני אינסוף פעמים סליחה אני לא הסכמתי לדבר איתם כי מאוד נפגעתי מהם מאחר וגיא ותמרה לא מצאו דרך לגרום לי לסלוח להם הם הגיעו אליי לבית אחר הצהריים ודיברו עם הוריי שם הם שיכנעו אותם לגרום לי לדבר איתם לאחר שראיתי שהם התאמצו כל כך לא יכולתי יותר להתעלם מהם ופשוט השלמנו :)","f"
"פעם נכנסתי למיטה ונרדמתי.
חלמתי חלום מטורף שאני נמצא במקום חשוך יחסית, הרבה אנשים מוכרים ורעש מוכר.
קמתי מהמיטה וראיתי שאני בעצם בצוללת, אנשים רצים מצד לצד, צוחקים, עובדים ומתפעלים דברים.
רעש כמו של סונאר קבוע ומכשירים מורכבים כאלה.
הלכתי לכיוון ירכתי הצוללת הרגשתי בבית, דיברתי עם אנשים על פעילות שיש לנו לבצע בעולם הגדול והמורכב שלנו.
ואז פתאום היה ריח מעולה בחרטום הצוללת, הלכתי לשם בדרך דפקתי את הראש באיזה צינור כאב לי נורא, המשכתי ללכת והריח המעולה רק התחזק. והנה בדרכי לחרטום הצוללת אני שומע מוזיקה נעימה שברקע מישהו שר ממש גרוע זה היה שף הצוללת כנראה, הלכתי לוודא את העניין חוץ מהריח המעולה שהיה באוויר, זה היה ריח של רוגלעך שעבר פשוט לכל חלקי הצוללת הקרה, ריח שקשה לעמוד בפניו,הגעתי לחרטום וראיתי באמת את השף שר גרוע במטבח ובדיוק מוציא את הרוגעלך המדהים מהתנור, רוגעלך אשר הוא עשה בעבודת יד.
הוא מסתכל עלי נותן לי חיבוק אומר לי מה קורה ואיך בבית ועל הדרך דוחף לי רוגעלך וכל כולי מבסוט על החיים, גם לראות אותו ככה שמח בכל זאת הבן אדם שף בצוללת לא איזה חוויה מדהימה במיוחד, אבל גם נהנתי לאכול מהרוגעלך, תוך כדי שאני אוכל כבר את הרוגעלך השלישי בערך היה רעש חזק מאוד מאוד וברקע נשמע עמדות קרב עמדות קרב, אנשים רצו לכל עבר אבל בשקט מופתי כמו עכברים בכלוב, האזעקה המשיכה והייתה חזקה נורא פתאום היה רעש של פיצוף קל שזיעזה את הצוללת זה היה מפחיד, האזעקה הפסיקה והיה שקט אנשים התחילו לחזור לכיוון החרטום ולדבר על מה שקרה והיה הייתי גאה באנשים האלה שמשרתים את המדינה שלנו בצוללת דבר שהיה נשמע לי מטורף לפני כמה שנים פתאום קורה לי והנה אני חווה את זה בחלום, משום מקום פתאום יצא מיים מאיזה צינור שהשפריץ לי על הפנים, התעוררתי מהחלום המטורף הזה שמעתי קולות מוכרים וריח של רוגעלך יצאתי מהמיטה והבנתי הנה אני בבית השני שלי הצוללת.","m"
"שבוע שעבר העליתי באופן ספונטני רעיון לנסוע עם משפחתי לנופש. לאחר התלבטויות לאן לנסוע החלטנו שאנחנו נוסעים לאילת והכל היה מעכשיו לעכשיו כך שלא נשאר לנו כמעט זמן להתארגן. בשנה האחרונה רוב הזמן ביליתי בבית בלי יציאות מיוחדות או נופשים או בילוי עם המשפחה לכן לאחר החיסונים ולאחר שפתחו את כל המקומות היה בי דחף לנסוע ולנוח בשביל הנפש. לאחר התארגנות שיא התחלנו נסיעה לאילת יצאנו מוקדם בבוקר כדי להגיע מוקדם לפני שיהיו הרבה אנשים על הכבישים ויקשה על הנסיעה. בדרך כלל אני מגיע לאילת בחודשי יולי אוגוסט והפעם בגלל שזה היה ספונטני גם חשבנו שלא יהיו כל כך הרבה אנשים והמזג אוויר כמובן יהיה יותר נעים. בזמן הנסיעה והכניסה למדבר ועם ההתקרבות יותר ויותר ליעד נכנסו לתוך סופות חול נוראיות שהיה נורא קשה לנהוג בהם. בנוסף, תכננו לעצור לאכול ארוחת בוקר ביטבתה אבל אפילו לא יכולנו לצאת מהרכב בעצירה, היו רוחות חזקות והכל היה מלא בחול, היה נורא קשה לנשום וברגע שיצאנו מהרכב לכמה דקות נורא מהר כבר התחרטנו וחזרנו לרכבים להמשך הנסיעה, וזה הרגע היחידי מזה הרבה זמן שבירכתי שקיימת המסכה. לאחר 4 שעות נסיעה שלא רואים כלום בדרך, הגענו לאילת למלון שהזמנו. המזג אוויר היה מוזר מאוד, חם מאוד אבל גם רוח קרה והרבה חול. לשמחתנו כשהגענו לאילת החול מהמדבר כנראה לא מגיע לשם והיה אפשר להיות מחוץ למקום סגור והמזג אוויר לא הפריע לנו לעשות את מה שתכננו. המלון שהגענו אליו היה מצוין, בריכות, מגרשי כדורגל, מיטות שיזוף וכל מה שלא ראיתי הרבה זמן, וממש גרם לתחושת שחרור וחופש. אחרי שקיבלו אותנו בקבלה התחלנו להיזכר שאנחנו עדיין נמצאים בתקופת קורונה, המון אנשים יושבים ומחכים לתורם, דלפקים מרוחקים אחד מהשני, כולם עם מסכות בחום הזה וכמובן הכי חשוב כולנו צריכים להיות עם תו ירוק ולהציג אותו למלון, אך ההצגה לא הייתה מספיקה והיינו צריכים לשלוח אותו למייל מרוכז של המלון כדי שיאשרו זאת וזה הקשה על כל התהליך וממש מרגישים שהמלונות לא הספיקו להתארגן לכמות כזו של אנשים וההתנהלות הייתה גרועה בלשון המעטה. לאחר זמן המתנה של כ-3 שעות קיבלנו את החדרים והופתענו לגלות עד כמה נקי ומסודר ואכן עלו על ציפיותינו מבחינת ימי הקורונה. וכאן בעצם התחילה החופשה שלנו שעברה נורא מהר, טיילנו, עשינו המון קניות, אכלנו, נחנו, השתזפנו והכי חשוב נהנינו. הנסיעה שלנו לאילת הייתה אומנם לשלושה ימים אבל בגלל שהיה לנו לו״ז צפוף לכל יום על מנת שנוכל לנצל את הזמן שלנו כמו שצריך, אכן עשינו זאת והספקנו לבקר במלא מקומות והרגשנו שהטיול היה הרבה יותר משלושה ימים.","m"
"החוזה בדירה שגרתי בה התקרב לסיום שלו והייתי צריך לעבור דירה. ביררתי עם בעלת הדירה האם יש אפשרות להישאר בדירה בלי שהיא תעלה לי את השכירות אבל היא לא הסכימה והחליטה שהיא בטוח תעלה לי את השכירות בכמה מאות שקלים. החלטתי שלא מתאים לי ההעלאה הזאת בשכירות ושאני עובר משם. התחלתי לחפש אנשים ופירסמתי בפייסבוק כדי שיגיעו אנשים לראות את הדירה. מסתבר שלמרות ההעלאה במחיר לאנשים זה לא הפריע ודווקא די הרבה אנשים קבעו איתי להגיע לראות את הדירה. יצא מצב שכמעט כל ערב או לפחות כמה ערבים בשבוע הראתי את הדירה לכל מיני אנשים שתכננו להשכיר אותה. הבעיה הייתה שהיה לי חשוב למכור חלק מהריהוט אבל הרבה מהאנשים שבאו לראות את הדירה לא היו מעוניינים לקנות את הריהוט אז זה הביא לזה שפסלתי די הרבה אנשים ולא העברתי את הפרטים שלהם לבעלת הדירה. בסוף מצאתי מישהי שהסכימה לקנות חלק מהריהוט והחלטתי להתפשר בגלל שראיתי שאני לא באמת מצליח למצוא מישהו שירצה לקנות את כל הריהוט שאני מעונין לקנות אז פשוט העברתי את הפרטים שלה לבעלת הדירה והיא סגרה איתה חוזה. בזמן הזה אני הייתי צריך למצוא דירה בעצמי אז יצא מצב שאני חיפשתי די הרבה בפייסבוק ובכל מיני אתרי דירות כדי למצוא דירה שאני יכול לעבור אליה ובמחיר שכירות נורמלי. היה חשוב לי שהשכירות תיהיה נמוכה יחסית מהשכירות ששילמתי בדירה שאני עוזב כי בעצם זאת הייתה הסיבה העיקרית שבגללה עזבתי את הדירה. בסוף הצלחתי למצוא דירה שנראתה יחסית סבבה ועם שכירות יותר נמוכה מהשכירות ששילמתי בדירה הנוכחית אז החלטתי לסגור חוזה עם בעל הדירה החדשה. היו כמה פרטים בחוזה שלא הסכמנו לגביהם אז נהלנו משא ומתן בקשר אליהם. חלק מהדברים הוא הסכים לוותר ולבוא לקראתי אבל היו דברים שהוא לא הסכים לוותר עליהם. בסוף הגענו להסכמה וחתמנו. סגרתי עם מובילים שיגיעו ויעבירו את הרהיטים שלי לדירה החדשה וגם אני בעצמי העברתי חלק מהדברים לדירה החדשה. העברתי בעצמי בעיקר דברים שפחדתי שישברו אם אשאיר אותם למובילים כמו טלוויזיה ודברים כאלה. בסוף המובילים היו ממש רציניים ועשו עבודה מאוד טובה והעבירו את הרהיהטים שלי כמו שצריך לדירה החדשה.","m"
"לאחר תקופה ארוכה בבית בעקבות הקורונה החליטה הממשלה שאפשר לפתוח את בתי המלונות, ולכן החלטנו לנסוע לאילת כל החברות, זה היה באמת הכי ספונטני שיש ובתור אחת שלא מגדירה את עצמה ספונטנית עד כדי כך, זה היה מדהים להחליט ככה מהר שנוסעים, לארוז ככה כמה שיותר ולשבור את השגרה המשעממת שנוצרה בעקבות הקורונה, חברה שלי הוציאה אוטו ואספה את ארבעתנו בבוקר, הנסיעה הייתה מצחיקה בטירוף, חברות שלי צחקו עלי שאני נראת צרפתייה עם הכובע קש הענקי שלי והאוברול שלבשתי וצחקתי שיש לי יופי אירופאי, עצרנו בתחנת דלק באמצע הדרך לקנות קצת אוכל ולתדלק, זה היה אחרי בערך שעתיים, איך שעצרנו היה אוטובוס של חיילים ותיירים, נכנסנו לסופר של התחנת דלק והתחלנו לחפש מה לקחת לנסיעה ואולי גם לחדר שיהיה על הדרך, תוך כדי החיפושים לחטיפים מוצלחים מישהו ניגש אלי והתחיל לדבר איתי צרפתית, חברות שלי שהיו בצד פשוט התחילו לצחוק כמו משוגעות ואני לא יכלתי להתאפק ופשוט התחלתי לצחוק זה היה כל כך מביך, אמרתי לבן אדם באנגלית שאני מצטערת ואני לא מדברת צרפתית, קנינו את הדברים אכלנו בחוץ ושתינו קפה וכמובן שחברות שלי לא הפסיקו לצחוק על המקרה ולהגיד שהן צדקו, צחקנו ואז חזרנו לאוטו להמשך הנסיעה, שרנו, דיברנו, צחקנו והנסיעה עברה כל כך מהר, וישר הגענו לאילת, קיבלנו 2 חדרים ענקים, ישר התארגנו שמנו בגד ים ויצאנו לחוף ים שהיה קרוב לבית מלון, השתזפנו ואז החלטנו לשכור סאפ, וניסנו כל אחת לעמוד על הסאפ כולן נפלו ישר וחיכו לרגע שאני אעלה על הסאפ לראות אם אני מצליחה אבל הן ידעו שאני לא אצליח כי אני מאד מגושמת וקלמזי כמעט בכל דבר, עליתי על הסאפ בזהירות עמדתי עליו והתחלתי פשוט לשחות עם המוטות, חברות שלי היו בשוק ואמרו שהן חייבות לתעד את הרגע ואיך שהן צילמו אותי ניסתי לעשות פוזה על הסאפ ונפלתי ישר לים והן תיעדו את זה ולא הפסיקו לצחוק, באמת שהיה כיף וזה היה רק היום הראשון, רק מהמחשבה שיש לנו עוד 3 לילות להיות באילת ריגשה אותי, חזרנו למלון התקלחנו והתארגנו לערב, יצאנו לאיזה מבשלת בירות מגניבה, שתינו שם בירות וטעמנו כל מיני בירות תוצרת בית והיה פשוט מדהים חזרנו ואמרנו שנעשה חדר בריחה, זה היה חדר בריחה ממש קריפי באזור המרכז של אילת, נכנסנו ועשינו את החדר בריחה, היינו כלואות בתוך סורגים והיינו צריכות להשתחרר מהן ולמצוא את המפתח והרוצח,לקח לנו קצת זמן כי כל אחת נבהלה ממשהו אחר בחדר והבהילה את כולנו, זה היה כל כך מצחיק שאני לא אופתע אם תיעדו אותנו והעלו את זה לאינטרנט, בסוף הצלחנו למצוא את הרוצח אחרי שביקשנו רק פעם אחת עזרה! יצאנו מהחדר בריחה, והמשכנו לטייל בטיילת שהייתה באזור קרוב, ופתאום קלטתי שאני מזהה מישהו בטיילת זה היה החבר הכי טוב של האקס שלי ששמרנו על קשר באינסטגרם והוא עבד שם תקופה באילת, היה מביך קצת אבל אמרנו שלום, צחקנו, הכרתי אותו לחברות שלי והוא הכיר אותי לחברים שלו ובגלל שהוא מכיר את האזור אז הוא לקח אותנו לכל מיני שטויות שיש באילת ועשינו המון צחוקים, שתינו והיה כיף ממש והמבוכה השתחררה מהר. הזמן טס נהנו מאילת ובסוף חזרנו לבית ואמרנו שחייב שוב. זו הייתה חוויה שלא אשכח לעולם והחופשה הכי טובה שיש.","f"
